"Var1","Freq"
"Анулювання дозволу на спеціальне водокористування",3
"Взяття громадян на квартирний облік за місцем проживання та взяття на облік громадян, які бажають вступити до житлово-будівельного кооперативу та зняття з обліку",134
"Взяття громадян на квартирний облік за місцем проживання та взяття на облік громадян, які бажають вступити до житлово-будівельного кооперативу та зняття з обліку для зняття з квартирного обліку",1
"Взяття громадян на соціальний квартирний облік за місцем проживання",3
"Взяття на облік громадян, які бажають отримати земельну ділянку для будівництва, обслуговування жилого будинку,  господарських будівель та споруд",99
"Виготовлення свідоцтва на право власності на житло",176
"Видача витягу з технічної документації про нормативну грошову оцінку земельної ділянки",1133
"Видача відомостей з документації із землеустрою, що включена до місцевого фонду документації із землеустрою",55
"Видача довідки про те, що за місцем реєстрації батька або матері посвідчення батьків та дитини з багатодітної сім'ї не видавались",23
"Видача дозволу на виконання будівельних робіт",25
"Видача дозволу на виконання будівельних робіт (зміна даних у дозволі на виконання будівельних робіт)",71
"Видача дозволу на проведення діагностичних, експериментальних, випробувальних, вимірювальних робіт на підприємтсвах, в установах та організаціях, діяльність яких пов`язана з використанням джерел неіонізуючого випромінювання",1
"Видача дозволу на спеціальне водокористування",149
"Видача дозволу (санітарного паспорта) на роботи з радіоактивними речовинами та іншими джерелами іонізуючого випромінювання",11
"Видача дубліката посвідчень батьків або дитини з багатодітної сім'ї у разі його втрати",37
"Видача дубліката свідоцтва про право власності",11
"Видача експлуатаційного дозволу оператором ринку, що провадить діяльність, пов`язану з виробництвом та/або зберіганням харчових продуктів тваринного походження",1
"Видача копій, витягів з розпоряджень міського голови, рішень, прийнятих міською радою та виконавчим комітетом впродовж останніх 10 років",105
"Видача ордерів (дозволів) на порушення об`єктів благоустрою пов`язаних з виконанням  земельних та/або ремонтних робіт",532
"Видача посвідчень батьків та дитини з багатодітної сім`ї*",346
"Видача рішення про надання у постійне користування та надання в оренду земельних ділянок сільськогосподарського призначення, що перебувають у державній власності для юридичних та фізичних осіб-підприємців",9
"Видача сертифіката відповідності закінченого будівництвом об`єкта",78
"Видача сертифіката  у разі прийняття в експлуатацію закінченого будівництвом об`єкта",15
"Виключення житлового приміщення з числа службових",40
"Виправлення технічної помилки у відомостях з Державного земельного кадастру, яка була допущена органом , що здійснює його ведення, з видачею витягу",92
"Висновок державної експертизи землевпорядної документації, щодо об'єктів, які підлягають обов'язковій державній експертизі",235
"Відомча реєстрація великотонажних та інших технологічних транспортних засобів , що не підлягають експлуатації на вулично-дорожній мережі загального користування",149
"Вклеювання до паспорта громадянина України фотокартки при досягненні 25- і 45-річного віку",4043
"Вклеювання нової фотокартки у посвідчення дитини з багатодітної сім'ї у разі досягнення 14-річного віку",69
"Внесення до державного земельного кадастру відомостей  (змін до них) про земельну ділянку",157
"Внесення до Державного земельного кадастру відомостей (змін) про землі в межах адміністративно-територіальних одиниць з видачею витягу",9
"Встановлення опіки (піклування) над дітьми",9
"Встановлення порядку участі того з батьків, що проживає окремо, у вихованні  дитини",12
"Декларація відповідності матеріально-технічної бази роботодавця вимогам законодавства з питань охорони праці та промислової безпеки",204
"Декларація відповідності обʼєкта вимогам пожежної безпеки",43
"Державна реєстрація земельної ділянки з видачею витягу з Державного земельного кадастру",2538
"Дозвіл на викиди забруднюючих речовин в атмосферне повітря стаціонарними джерелами для обʼєктів ІІ та ІІІ групи",270
"Дозвіл на виконання робіт підвищеної небезпеки та на експлуатацію (застосування) машин, механізмів, устаткування підвищеної небезпеки",403
"Дозвіл на проведення робіт на пам'ятках місцевого значення (крім пам'яток археології), їх територій та в зонах охорони",9
"Дозвіл на розміщення зовнішньої реклами поза межами населених пунків в Івано-Франківській області",16
"Дозвіл на спеціальне використання природних ресурсів у межах територій та об`єктів природно-заповідного фонду загальнодержавного значення",8
"Дозвіл на участь у дорожньому русі транспортних засобів, вагові або габаритні параметри яких перевищують нормативні",8
"Дозвіл на участь у дорожньому русі транспортного засобу, вагові або габаритні параметри якого перевищують нормативні",41
"Затвердження архітипу та оформлення паспорта прив`язки тимчасової споруди",17
"Затвердження рішень підприємств, установ та організацій про надання службових житлових приміщень",15
"Затвердження спільних рішень адміністрації та профспілкового комітету про надання житлових приміщень в будинках підприємств, установ та організацій їх працівникам, які перебувають на обліку за місцем роботи",8
"Затвердження спільних рішень адміністрацій та профспілкових комітетів про  взяття громадян на квартирний облік за місцем роботи",97
"Зняття з реєстрації місця проживання",4112
"Надання будівельного паспорта забудови земельної ділянки",339
"Надання висновку про можливість утворення прийомної сім'ї та влаштування до неї дитини",1
"Надання витягу з протоколу сесії міської ради впродовж останніх 10 років",1
"Надання відомостей з державного земельного кадастру у формі викопіювань з кадастрової карти (плану) та іншої картографічної документації",8
"Надання відомостей з державного земельного кадастру у формі витягу з державного земельного кадастру про земельну ділянку",2569
"Надання відомостей з державного земельного кадастру у формі витягу з державного земельного кадастру про землі в межах території адміністративно-територіальних одиниць",2
"Надання відомостей з державного земельного кадастру  у формі витягу з державного земельного кадастру про обмеження у використанні  земель",1
"Надання довідки з державної статистичної звітності про наявність земель та розподіл їх за власниками земель, землекористувачами, угіддями (за даними форми 6-зем)",471
"Надання довідки з містобудівного кадастру",2167
"Надання довідки з містобудівного кадастру Довідка з містобудівного кадастру",2
"Надання довідки про відповідність намірів щодо місця розташування тимчасової споруди",18
"Надання довідки про перебування на квартирному обліку при міськвиконкомі за місцем проживання та в житлово-будівельному кооперативі",51
"Надання довідки про перебування на обліку бажаючих отримати земельну ділянку під індивідуальне будівництво",5
"Надання дозволів на відключення житлових будинків від мереж централізованого опалення та гарячого водопостачання в м. Івано-Франківську",42
"Надання дозволу на видалення зелених насаджень",153
"Надання дозволу на переоформлення договору-найму",36
"Надання дозволу на проведення рекламної акції",53
"Надання дозволу на проектування об'єкту містобудування, який не потребує отримання містобудівних умов та обмежень",6
"Надання дозволу на розміщення графічної (лазерної) проекційної установки",1
"Надання дозволу на розміщення об'єкту зовнішньої реклами",471
"Надання дозволу на створення органу самоорганізації населення (будинкового, вуличного, квартального, територіального комітету)",4
"Надання дозволу на укладення договору купівлі-продажу (дарування, міни) на ім'я повнолітньої особи житла, право користування (спільної сумісної власності) яким мають діти",84
"Надання дозволу на укладення угод неповнолітніми, від імені малолітніх щодо відчуження житла, власником (співвласником) якого вони є",20
